,t [s],word,u [m/s],vm [m/s],r [deg/s],r [rad/s],p_x [m],p_y [m],psi [rad],psi [deg]
0,0.0,54,3.3644717545899816,0.0654037657609145,-0.0387294987294987,-0.000675957270476713,0.0,0.0,0.0,0.0
1,1.0,22,3.597786812566852,0.0195510064157065,0.004749048113534,8.288652591679379e-05,3.597786812566852,0.0195510064157065,8.288652591679379e-05,0.004749048113534
2,2.0,28,0.2533985721876736,-0.1488357530164974,0.013611111111111,0.00023755870374367067,3.851197720362565,-0.1292637427622301,0.00032044522966046446,0.018360159224644998
3,3.0,50,1.2521109681009,0.0576413379986915,-0.0121458193230217,-0.00021198453753907737,5.103290153285391,-0.07122117474312645,0.00010846069212138709,0.0062143399016233
4,4.0,27,0.5165977353505885,-0.171764012348937,0.0414100312256049,0.0007227413882404684,5.6199065152410475,-0.24292915553395683,0.0008312020803618555,0.047624371127228206
5,5.0,84,3.855952262922519,-0.0427159111688636,0.0169956579826319,0.0002966301903397839,9.475892951681054,-0.2824399767730216,0.0011278322707016393,0.0646200291098601
6,6.0,84,3.855952262922519,-0.0427159111688636,0.0169956579826319,0.0002966301903397839,13.331890938580212,-0.32080699430000315,0.0014244624610414232,0.081615687092492
7,7.0,28,0.2533985721876736,-0.1488357530164974,0.013611111111111,0.00023755870374367067,13.58550126455459,-0.46928163968401754,0.0016620211647850938,0.095226798203603
8,8.0,69,0.5579668452933007,0.0970755805257364,-0.0284915982805783,-0.0004972721991516466,14.143305997613018,-0.371278840955699,0.0011647489656334473,0.0667351999230247
9,9.0,54,3.3644717545899816,0.0654037657609145,-0.0387294987294987,-0.000675957270476713,17.507699291063226,-0.3019563554494642,0.0004887916951567343,0.028005701193525998
10,10.0,84,3.855952262922519,-0.0427159111688636,0.0169956579826319,0.0002966301903397839,21.36367197254066,-0.3427875041475552,0.0007854218854965182,0.0450013591761579
11,11.0,50,1.2521109681009,0.0576413379986915,-0.0121458193230217,-0.00021198453753907737,22.615737281672036,-0.2841627486716692,0.0005734373479574408,0.0328555398531362
12,12.0,124,0.5003499131856505,-0.3471113732228273,-0.1714261857047428,-0.002991951364682998,23.116286159206958,-0.6309871455125704,-0.002418514016725557,-0.13857064585160658
13,13.0,84,3.855952262922519,-0.0427159111688636,0.0169956579826319,0.0002966301903397839,26.972123836068423,-0.6830285972587269,-0.002121883826385773,-0.1215749878689747
14,14.0,2,2.384816595358022,0.0110089347969944,-0.029398820058997,-0.0005131062062308512,29.356958422403267,-0.6770799872103306,-0.002634990032616624,-0.1509738079279717
15,15.0,56,0.3662709575115334,0.0223263782975252,0.0107386785449146,0.00018742529792203352,29.72328693809052,-0.6557188056261556,-0.0024475647346945905,-0.1402351293830571
16,16.0,112,3.648067509133951,-0.2246858032356926,0.0461426116838487,0.0008053404993523647,33.37079358772301,-0.8893328083341075,-0.0016422242353422258,-0.09409251769920839
17,17.0,2,2.384816595358022,0.0110089347969944,-0.029398820058997,-0.0005131062062308512,35.75562504640669,-0.8822402902314954,-0.002155330441573077,-0.1234913377582054
18,18.0,2,2.384816595358022,0.0110089347969944,-0.029398820058997,-0.0005131062062308512,38.14045983036848,-0.8763714448311061,-0.0026684366478039283,-0.1528901578172024
19,19.0,122,5.642054201191793,0.2443647490277763,-0.0305639797818568,-0.0005334420797063794,43.783146015373866,-0.6470630121411813,-0.0032018787275103077,-0.18345413759905918
20,20.0,69,0.5579668452933007,0.0970755805257364,-0.0284915982805783,-0.0004972721991516466,44.34142082422907,-0.5517744683457638,-0.003699150926661954,-0.2119457358796375
21,21.0,36,1.0481646473175978,0.1067514808794766,-0.027505634437683,-0.0004800638837875074,45.389973189099166,-0.44890102822774713,-0.0041792148104494616,-0.23945137031732047
22,22.0,22,3.597786812566852,0.0195510064157065,0.004749048113534,8.288652591679379e-05,48.98781029015148,-0.44438607271192493,-0.004096328284532668,-0.2347023222037865
23,23.0,50,1.2521109681009,0.0576413379986915,-0.0121458193230217,-0.00021198453753907737,50.240146870298126,-0.3918742615504908,-0.004308312822071746,-0.2468481415268082
24,24.0,86,0.9445499145582648,-0.0614622039289811,0.0054754548575351,9.556471530830454e-05,51.184423221128206,-0.457405298982051,-0.0042127481067634415,-0.24137268666927314
25,25.0,122,5.642054201191793,0.2443647490277763,-0.0305639797818568,-0.0005334420797063794,56.827456801019245,-0.23681120120179389,-0.004746190186469821,-0.27193666645112996
26,26.0,69,0.5579668452933007,0.0970755805257364,-0.0284915982805783,-0.0004972721991516466,57.38587809929198,-0.1423849208749505,-0.005243462385621468,-0.30042826473170825
27,27.0,56,0.3662709575115334,0.0223263782975252,0.0107386785449146,0.00018742529792203352,57.752261088695285,-0.12197936868450623,-0.005056037087699435,-0.2896895861867937
28,28.0,56,0.3662709575115334,0.0223263782975252,0.0107386785449146,0.00018742529792203352,58.11864024714672,-0.10150514741192712,-0.004868611789777402,-0.27895090764187913
29,29.0,36,1.0481646473175978,0.1067514808794766,-0.027505634437683,-0.0004800638837875074,59.167312201431145,0.00014198168511449227,-0.005348675673564909,-0.30645654207956213
30,30.0,86,0.9445499145582648,-0.0614622039289811,0.0054754548575351,9.556471530830454e-05,60.11151986519556,-0.06637141014226176,-0.005253110958256605,-0.30098108722202704
31,31.0,89,4.119754998071647,-0.1336104849418716,0.0289139704038123,0.0005046439833707191,64.23051615324384,-0.22162148217823885,-0.004748466974885886,-0.27206711681821477
32,32.0,69,0.5579668452933007,0.0970755805257364,-0.0284915982805783,-0.0004972721991516466,64.78893766650378,-0.1271964732587834,-0.005245739174037533,-0.30055871509879306
33,33.0,97,0.0259251241416466,0.224455163163263,0.0489297253634894,0.0008539848096894692,64.81603986178749,0.09711960584213719,-0.004391754364348063,-0.2516289897353036
34,34.0,97,0.0259251241416466,0.224455163163263,0.0489297253634894,0.0008539848096894692,64.84295048468768,0.32145874800758817,-0.003537769554658594,-0.20269926437181424
35,35.0,50,1.2521109681009,0.0576413379986915,-0.0121458193230217,-0.00021198453753907737,66.09525753854841,0.3746700544707076,-0.003749754092197671,-0.21484508369483593
36,36.0,97,0.0259251241416466,0.224455163163263,0.0489297253634894,0.0008539848096894692,66.12202413012237,0.5990264270299007,-0.002895769282508202,-0.16591535833134655
37,37.0,28,0.2533985721876736,-0.1488357530164974,0.013611111111111,0.00023755870374367067,66.37499064647712,0.44945751526651145,-0.0026582105787645314,-0.15230424722023553
38,38.0,36,1.0481646473175978,0.1067514808794766,-0.027505634437683,-0.0004800638837875074,67.42343535816903,0.5534223799162881,-0.0031382744625520387,-0.17980988165791853
39,39.0,89,4.119754998071647,-0.1336104849418716,0.0289139704038123,0.0005046439833707191,71.54275076332006,0.40688365224300993,-0.0026336304791813197,-0.15089591125410623
40,40.0,115,-0.285994123990766,0.3752435768857411,-0.0995879458794587,-0.0017381375508944742,71.25774588293648,0.7828791297541015,-0.004371768030075794,-0.25048385713356497
41,41.0,84,3.855952262922519,-0.0427159111688636,0.0169956579826319,0.0002966301903397839,75.11347455429208,0.7233063516540484,-0.00407513783973601,-0.23348819915093305
42,42.0,69,0.5579668452933007,0.0970755805257364,-0.0284915982805783,-0.0004972721991516466,75.67183236186087,0.8181073406148323,-0.004572410038887657,-0.26197979743151134
43,43.0,97,0.0259251241416466,0.224455163163263,0.0489297253634894,0.0008539848096894692,75.69878351246075,1.0424416175627582,-0.0037184252291981874,-0.21305007206802196
44,44.0,36,1.0481646473175978,0.1067514808794766,-0.027505634437683,-0.0004800638837875074,76.74733785994988,1.145294847546162,-0.004198489112985695,-0.24055570650570496
45,45.0,98,2.6341131781727167,-0.0768363098830058,0.0220031880977683,0.00038402807824168485,79.38110522652805,1.057399951860901,-0.0038144610347440105,-0.21855251840793669
46,46.0,36,1.0481646473175978,0.1067514808794766,-0.027505634437683,-0.0004800638837875074,80.42966944677462,1.1601524826087384,-0.004294524918531518,-0.2460581528456197
47,47.0,28,0.2533985721876736,-0.1488357530164974,0.013611111111111,0.00023755870374367067,80.68242650537265,1.0102298789373145,-0.004056966214787848,-0.2324470417345087
48,48.0,115,-0.285994123990766,0.3752435768857411,-0.0995879458794587,-0.0017381375508944742,80.39795708130139,1.3866306330808464,-0.005795103765682322,-0.3320349876139674
49,49.0,2,2.384816595358022,0.0110089347969944,-0.029398820058997,-0.0005131062062308512,82.78279742941457,1.3838192007430465,-0.006308209971913173,-0.3614338076729644
50,50.0,69,0.5579668452933007,0.0970755805257364,-0.0284915982805783,-0.0004972721991516466,83.34136554209792,1.4773731011124909,-0.006805482171064819,-0.3899254059535427
51,51.0,28,0.2533985721876736,-0.1488357530164974,0.013611111111111,0.00023755870374367067,83.59374535503814,1.326816308562303,-0.006567923467321149,-0.3763142948424317
52,52.0,2,2.384816595358022,0.0110089347969944,-0.029398820058997,-0.0005131062062308512,85.97858281824797,1.3221618256412428,-0.007081029673552,-0.4057131149014287
53,53.0,22,3.597786812566852,0.0195510064157065,0.004749048113534,8.288652591679379e-05,89.57641787301083,1.316236519625141,-0.006998143147635206,-0.4009640667878947
54,54.0,69,0.5579668452933007,0.0970755805257364,-0.0284915982805783,-0.0004972721991516466,90.13505039868726,1.4094050230871267,-0.007495415346786853,-0.429455665068473
55,55.0,112,3.648067509133951,-0.2246858032356926,0.0461426116838487,0.0008053404993523647,93.78133133415382,1.1573820062265072,-0.006690074847434488,-0.3833130533846243
56,56.0,93,0.255649574039914,0.1433794040509487,-0.3459795918367346,-0.006038483022257114,94.0379343989375,1.2990478996392076,-0.012728557869691601,-0.7292926452213588
57,57.0,22,3.597786812566852,0.0195510064157065,0.004749048113534,8.288652591679379e-05,97.63567861498844,1.2728039212087199,-0.012645671343774808,-0.7245435971078249
58,58.0,54,3.3644717545899816,0.0654037657609145,-0.0387294987294987,-0.000675957270476713,101.00070841425445,1.2956575874631957,-0.013321628614251521,-0.7632730958373236
59,59.0,2,2.384816595358022,0.0110089347969944,-0.029398820058997,-0.0005131062062308512,103.38546005366574,1.2748968440859196,-0.013834734820482373,-0.7926719158963206
60,60.0,86,0.9445499145582648,-0.0614622039289811,0.0054754548575351,9.556471530830454e-05,104.32906929012393,1.200373341252089,-0.013739170105174068,-0.7871964610387855
61,61.0,69,0.5579668452933007,0.0970755805257364,-0.0284915982805783,-0.0004972721991516466,104.88831716995082,1.2897739994716348,-0.014236442304325714,-0.8156880593193637
62,62.0,105,1.03401110291389,0.432587791517606,0.3633509700176366,0.006341670767122958,105.92838179297458,1.7075978119258004,-0.007894771537202756,-0.4523370893017271
63,63.0,50,1.2521109681009,0.0576413379986915,-0.0121458193230217,-0.00021198453753907737,107.18090880132398,1.7553523262690178,-0.008106756074741834,-0.46448290862474884
64,64.0,69,0.5579668452933007,0.0970755805257364,-0.0284915982805783,-0.0004972721991516466,107.73964427150061,1.8479014653652999,-0.00860402827389348,-0.4929745069053271
65,65.0,86,0.9445499145582648,-0.0614622039289811,0.0054754548575351,9.556471530830454e-05,108.68363040807318,1.7783147025248727,-0.008508463558585175,-0.48749905204779204
66,66.0,84,3.855952262922519,-0.0427159111688636,0.0169956579826319,0.0002966301903397839,112.53907965563762,1.7027925040722391,-0.00821183336824539,-0.47050339406516006
67,67.0,93,0.255649574039914,0.1433794040509487,-0.3459795918367346,-0.006038483022257114,112.79589800450441,1.844067745704057,-0.014250316390502504,-0.8164829859018946
68,68.0,98,2.6341131781727167,-0.0768363098830058,0.0220031880977683,0.00038402807824168485,115.42864882585543,1.7297035615592244,-0.013866288312260819,-0.7944797978041263
69,69.0,50,1.2521109681009,0.0576413379986915,-0.0121458193230217,-0.00021198453753907737,116.6814386675217,1.7699777828757546,-0.014078272849799896,-0.806625617127148
70,70.0,69,0.5579668452933007,0.0970755805257364,-0.0284915982805783,-0.0004972721991516466,117.24071683120245,1.8591887934678388,-0.014575545048951543,-0.8351172154077263
71,71.0,86,0.9445499145582648,-0.0614622039289811,0.0054754548575351,9.556471530830454e-05,118.18427060096626,1.783966275773141,-0.014479980333643238,-0.8296417605501911
72,72.0,86,0.9445499145582648,-0.0614622039289811,0.0054754548575351,9.556471530830454e-05,119.12783155503999,1.7088339288691805,-0.014384415618334933,-0.824166305692656
73,73.0,86,0.9445499145582648,-0.0614622039289811,0.0054754548575351,9.556471530830454e-05,120.07139968480647,1.6337917534421122,-0.014288850903026628,-0.8186908508351209
74,74.0,2,2.384816595358022,0.0110089347969944,-0.029398820058997,-0.0005131062062308512,122.45613012847706,1.6107244351966807,-0.014801957109257479,-0.8480896708941179
75,75.0,69,0.5579668452933007,0.0970755805257364,-0.0284915982805783,-0.0004972721991516466,123.01547270630404,1.6995306816596338,-0.015299229308409126,-0.8765812691746963
76,76.0,112,3.648067509133951,-0.2246858032356926,0.0461426116838487,0.0008053404993523647,126.65967589319321,1.419060729541315,-0.01449388880905676,-0.8304386574908476
77,77.0,19,-0.7534784964500236,-0.4638914927887788,0.1028299120234603,0.0017947205343454868,125.89955318172018,0.9661384125847889,-0.012699168274711275,-0.7276087454673873
78,78.0,89,4.119754998071647,-0.1336104849418716,0.0289139704038123,0.0005046439833707191,130.01727929370293,0.7802226453183574,-0.012194524291340556,-0.6986947750635749
79,79.0,36,1.0481646473175978,0.1067514808794766,-0.027505634437683,-0.0004800638837875074,131.0666677588418,0.8741846365163893,-0.012674588175128064,-0.726200409501258
80,80.0,2,2.384816595358022,0.0110089347969944,-0.029398820058997,-0.0005131062062308512,133.45143233209103,0.8549669281252705,-0.013187694381358915,-0.7555992295602549
