,t [s],word,u [m/s],vm [m/s],r [deg/s],r [rad/s],p_x [m],p_y [m],psi [rad],psi [deg]
0,0.0,110,6.090603821937385,0.0710877743883674,-0.0040785907859078,-7.118483805559424e-05,0.0,0.0,0.0,0.0
1,1.0,15,4.810355239171207,0.0263046858300824,-0.00586927314255,-0.00010243814103637199,4.810355239171207,0.0263046858300824,-0.00010243814103637199,-0.00586927314255
2,2.0,15,4.810355239171207,0.0263046858300824,-0.00586927314255,-0.00010243814103637199,9.62071314770662,0.05211660767458627,-0.00020487628207274398,-0.0117385462851
3,3.0,46,3.39635682644384,-0.5969281405006989,0.2544401041666666,0.0044408175668256755,13.01694760645339,-0.5455073532526213,0.004235941284752931,0.2427015578815666
4,4.0,94,3.352585921247172,-0.1099838197046258,0.0231275033377836,0.00040365108101030213,16.369969333297384,-0.6412888715830625,0.004639592365763234,0.26582906121935024
5,5.0,15,4.810355239171207,0.0263046858300824,-0.00586927314255,-0.00010243814103637199,21.180150756565684,-0.5926664614922279,0.004537154224726862,0.25995978807680026
6,6.0,15,4.810355239171207,0.0263046858300824,-0.00586927314255,-0.00010243814103637199,25.990337135385285,-0.5445367976986902,0.00443471608369049,0.2540905149342503
7,7.0,8,6.225184895162104,-0.1739910236327705,0.00513583265417,8.963718964670579e-05,32.21623241446662,-0.6909192733299925,0.004524353273337196,0.2592263475884202
8,8.0,95,6.9648243336984725,-0.052241726402161,0.0015973236009732,2.787855605679444e-05,39.181221823321216,-0.7116492467773852,0.0045522318293939905,0.2608236711893935
9,9.0,34,4.768158258906796,0.7249976924342142,-0.2491967353951889,-0.0043493035178671395,43.9460303313105,0.035046620499856296,0.00020292831152685098,0.011626935794204535
10,10.0,75,7.311056000342316,0.0687734747500254,-0.003013201320132,-5.25902840617431e-05,51.25707222503353,0.10530371407328447,0.00015033802746510788,0.008613734474072536
11,11.0,15,4.810355239171207,0.0263046858300824,-0.00586927314255,-0.00010243814103637199,56.0674234552495,0.13233157892144318,4.7899886428735884e-05,0.0027444613315225357
12,12.0,95,6.9648243336984725,-0.052241726402161,0.0015973236009732,2.787855605679444e-05,63.03225028333068,0.08042346687366654,7.577844248553032e-05,0.004341784932495735
13,13.0,110,6.090603821937385,0.0710877743883674,-0.0040785907859078,-7.118483805559424e-05,69.12284870085999,0.1519727775289088,4.593604429936076e-06,0.0002631941465879356
14,14.0,94,3.352585921247172,-0.1099838197046258,0.0231275033377836,0.00040365108101030213,72.47543512729395,0.042004358278982926,0.0004082446854402382,0.023390697484371538
15,15.0,96,1.4684698175748678,0.0684997761207064,-0.0050509987250318,-8.815655826584065e-05,73.94387685782972,0.11110362367357754,0.00032008812717439753,0.018339698759339735
